song_id,title,artist,found,spotify_id,popularity,duration_ms,explicit,release_date,tempo,danceability,energy,valence,acousticness,speechiness,instrumentalness,liveness,loudness,key,mode,time_signature
BD_13,Forever Young,Bob Dylan,True,1qli6fjEVdmMgssWy55eiZ,43,296400,False,1994-11-15,,,,,,,,,,,,
BD_14,Just Like a Woman,Bob Dylan,True,37Dl7jQMmt0gUnzTKqnjkN,54,293828,False,1966-06-20,,,,,,,,,,,,
BD_15,Girl from the North Country,Bob Dylan,True,4K1imZQQ0yKtJ40vGmUajS,67,224153,False,1969-04-09,,,,,,,,,,,,
BE_01,bad guy,Billie Eilish,True,2Fxmhks0bxGSBdJ92vM42m,83,194087,False,2019-03-29,,,,,,,,,,,,
BE_02,Happier Than Ever,Billie Eilish,True,4RVwu0g32PAqgUiJoXsdF8,85,298899,True,2021-07-30,,,,,,,,,,,,
BE_03,lovely,Billie Eilish,True,0u2P5u6lvoDfwTYjAADbn4,88,200185,False,2018-04-19,,,,,,,,,,,,
BE_04,when the party's over,Billie Eilish,False,,,,,,,,,,,,,,,,,
BE_05,ocean eyes,Billie Eilish,True,2uIX8YMNjGMD7441kqyyNU,85,200560,False,2016-11-18,,,,,,,,,,,,
BE_06,everything i wanted,Billie Eilish,True,3ZCTVFBt2Brf31RLEnCkWJ,84,245425,False,2019-11-13,,,,,,,,,,,,
BE_07,Therefore I Am,Billie Eilish,True,20R4HfKloPKgXDqU7UKk3x,73,173539,False,2021-07-30,,,,,,,,,,,,
BE_08,your power,Billie Eilish,True,042Sl6Mn83JHyLEqdK7uI0,74,245896,False,2021-07-30,,,,,,,,,,,,
BE_09,NDA,Billie Eilish,True,38GBNKZUhfBkk3oNlWzRYd,75,195776,True,2021-07-30,,,,,,,,,,,,
BE_10,idontwannabeyouanymore,Billie Eilish,True,41zXlQxzTi6cGAjpOXyLYH,80,203569,False,2017-12-22,,,,,,,,,,,,
BE_11,Getting Older,Billie Eilish,True,4HOryCnbme0zBnF8LWij3f,73,244221,False,2021-07-30,,,,,,,,,,,,
BE_12,Male Fantasy,Billie Eilish,True,4ak9GGe6afmi2HbxEjvhIC,73,194886,False,2021-07-30,,,,,,,,,,,,
BN_01,Kiara,Bonobo,False,,,,,,,,,,,,,,,,,
BN_02,No Reason,Bonobo,False,,,,,,,,,,,,,,,,,
BN_03,Outlier,Bonobo,False,,,,,,,,,,,,,,,,,
BN_04,Break Apart,Bonobo,False,,,,,,,,,,,,,,,,,
BN_05,Bambro Koyo Ganda,Bonobo,False,,,,,,,,,,,,,,,,,
BN_06,Surface,Bonobo,False,,,,,,,,,,,,,,,,,
BN_07,Linked,Bonobo,False,,,,,,,,,,,,,,,,,
BN_08,It Came From the Sea,Bonobo,False,,,,,,,,,,,,,,,,,
BN_09,Kerala,Bonobo,False,,,,,,,,,,,,,,,,,
BN_10,Towers,Bonobo,False,,,,,,,,,,,,,,,,,
BN_11,Prelude,Bonobo,False,,,,,,,,,,,,,,,,,
BN_12,Sapphire,Bonobo,False,,,,,,,,,,,,,,,,,
CB_01,Can't Do Without You,Caribou,True,6yhca6TNRzwG2zp6AuidaE,56,236400,False,2014-10-07,,,,,,,,,,,,
CB_02,Sun,Caribou,True,3yb4akoM3pD2epSSrfx9Es,36,344999,False,2010-04-20,,,,,,,,,,,,
CB_03,Odessa,Caribou,True,3D1P3oPecqAQy2u33gAhsM,50,315585,False,2010-04-20,,,,,,,,,,,,
CB_04,Leave House,Caribou,True,32kINY8k1HFFBiGOVKTim7,27,312459,False,2010-04-20,,,,,,,,,,,,
